generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
530	11200	1254.974	55	7.126	5.061786573825901E28	1.1357427493727773E26
531	10200	921.584	50	5.094	1.1948139883406473E27	2.640605766693759E24
532	12000	1059.854	59	7.206	9.961241799803158E29	1.9924832528127478E27
533	10000	1222.258	49	6.87	5.62949953421312E26	2.2857135538116546E24
534	11800	1345.932	58	7.2	4.7357173138929925E29	9.970833725090215E26
535	10200	1415.856	58	8.11	7.080677982168624E27	1.9193293886913195E25
536	11200	1444.136	55	8.322	5.061786573825901E28	1.0262493983024362E26
537	11200	1383.538	55	8.676	5.061786573825901E28	1.025325231100222E26
538	10800	1556.548	53	9.472	1.1346476987588285E28	2.311254325385174E25
539	11200	1813.914	55	10.294	5.061786573825901E28	1.0397790080708449E26
540	12000	1796.95	59	10.222	9.961241799803158E29	2.0607036776611013E27
541	10400	1843.618	63	10.262	3.61876057691856E29	7.752706326006492E26
542	11200	1374.498	60	7.242	5.061786573825901E28	1.8507958146981752E26
543	10200	1077.51	59	6.026	1.35280060320771E28	3.019883885509715E25
544	11200	1251.884	57	6.76	5.061786573825901E28	1.0699232578270505E26
545	11200	1196.154	64	7.252	5.374056291773295E29	1.2137483647555802E27
546	8600	832.038	54	5.758	2.8759871625595632E26	6.433018052598685E23
547	11600	765.08	71	5.37	1.448573082850374E32	2.9137028352421743E29
548	8200	675.446	52	4.71	8.146061747866829E25	2.176798076379896E23
549	11400	954.17	63	6.822	2.275183047682908E29	7.702519547181647E26
550	10600	1086.262	60	6.856	3.7531549561430196E28	8.617857674112397E25
551	10000	1464.094	67	9.25	4.669896821838081E30	1.259686263995474E28
552	10800	1089.084	55	6.11	1.1346476987588285E28	3.1376145361824163E25
553	10600	1038.608	52	5.966	5.363859213792299E27	1.6040885476247934E25
554	10600	1076.05	52	5.876	5.363859213792299E27	1.079893247074938E25
555	12800	1390.73	63	9.536	1.9342813113834067E31	5.720051646901157E28
556	11200	1180.13	61	8.056	7.988818155698542E28	2.6699552988333713E26
557	10000	1103.056	59	7.336	1.502601566530509E28	3.1396953820004166E25
558	10000	979.344	53	5.92	5.62949953421312E26	2.1051193713985432E24
559	10800	985.558	53	6.086	1.1346476987588285E28	2.2883625958799774E25
560	10400	782.636	52	4.868	2.532968545621243E27	5.252610726171074E24
561	9000	954.322	67	7.688	5.269687984504004E30	1.0539426527755176E28
562	10000	1076.264	55	8.538	6.958438280820491E26	3.4084358626993905E24
563	11200	1031.45	58	7.66	5.061786573825901E28	1.2206991990931698E26
564	11800	1138.454	64	8.976	5.3218306502490825E29	2.036757972205434E27
565	11200	1459.004	60	10.598	5.061786573825901E28	1.7751239760843993E26
566	13000	947.288	64	7.092	4.0527496729939885E31	8.105899309982296E28
567	8200	872.082	56	7.19	1.4887853215601086E27	3.545457603999706E24
568	10200	1018.336	56	8.752	1.8386250559063991E27	7.898695758383127E24
569	8800	876.352	66	7.284	1.9922483599606316E30	3.9913020930335304E27
570	7200	701.208	52	6.052	9.655093830916674E25	3.889616815959999E23
571	9200	975.84	58	7.742	7.12461174340229E27	1.6894679654392367E25
572	9200	750.302	59	6.476	1.1975508509967122E28	3.0506849644732156E25
573	8200	620.608	50	5.258	1.9290723768975159E25	7.110346336719701E22
574	9800	673.068	55	5.254	8.759821309311759E26	4.244729353095074E24
575	9200	685.676	48	5.5	2.7397648333108412E25	6.087354612758998E22
